number;kana;kanji;pos;english;hiragana;katakana;level
1;ああ; ;感;Oh!, Ah!;ああ;;N5
2;あう;会う;動I;meet;あう;;N5
3;あおい;青い;形;blue;あおい;;N5
4;あかい;赤い;形;red;あかい;;N5
5;あかるい;明るい;形;bright;あかるい;;N5
6;あき;秋;名;autumn, fall;あき;;N5
7;あく;開く;動I;open, to be opened;あく;;N5
8;あける;開ける;動II;to open;あける;;N5
9;あげる;上げる;動II;raise, give;あげる;;N5
10;あさ;朝;名;morning;あさ;;N5
11;あさごはん;朝御飯;名;breakfast;あさごはん;;N5
12;あさって;明後日;名;the day after tomorrow;あさって;;N5
13;あし;足;名;foot, leg;あし;;N5
14;あした;明日;名;tomorrow;あした;;N5
15;あそこ;彼処;代;there, over there;あそこ;;N5
16;あそぶ;遊ぶ;動I;to play, to amuse oneself;あそぶ;;N5
17;あたたかい;暖かい;形;warm;あたたかい;;N5
18;あたま;頭;名;head, brains;あたま;;N5
19;あたらしい;新しい;形;new, fresh;あたらしい;;N5
20;あちら;彼方;代;there, that;あちら;;N5
21;あつい;暑い;形;hot (weather, etc), warm;あつい;;N5
22;あつい;熱い;形;hot (things), heated;あつい;;N5
23;あつい;厚い;形;thick;あつい;;N5
24;あと;後;名;back, rear, after, later, the rest;あと;;N5
25;あなた;貴方;代;you, dear (what a wife calls a husband);あなた;;N5
26;あに;兄;名;elder brother;あに;;N5
27;あね;姉;名;elder sister;あね;;N5
28;あの;彼の;連体;that, those;あの;;N5
29;あの; ;感;er, umm, uh;あの;;N5
30;アパート; ;名;apartment, apartment building;;;N5
31;あびる;浴びる;動II;to pour on oneself, to bathe in;あびる;;N5
32;あぶない;危ない;形;dangerous;あぶない;;N5
33;あまい;甘い;形;sweet;あまい;;N5
34;あまり;余り;副;not very (with negative sentence), not much;あまり;;N5
35;あめ;雨;名;rain;あめ;;N5
36;あらう;洗う;動I;to wash;あらう;;N5
37;ある; ;動I;to be (usu. of inanimate objects), to exist, to be located, to have, to possess, to take place;ある;;N5
38;あるく;歩く;動I;to walk;あるく;;N5
39;あれ; ;代;that, that one;あれ;;N5
40;いい;良い;形;good, right, excellent, fine, suitable;いい;;N5
41;いいえ; ;感;no;いいえ;;N5
42;いう;言う;動I;say, state, express, be said, be called, named;いう;;N5
43;いえ;家;名;house, home, household, family;いえ;;N5
44;いく;行く;動I;go, come, proceed;いく;;N5
45;いくつ;幾つ;名;how old, how many;いくつ;;N5
46;いくら;幾ら;名，副;how much, how many, hardly any, not much, however~, no matter how~;いくら;;N5
47;いけ;池;名;pond, pool, basin;いけ;;N5
48;いしゃ;医者;名;doctor, physician, surgeon;いしゃ;;N5
49;いす; ;名;chair, sofa;いす;;N5
50;いそがしい;忙しい;形;be busy, be engaged;いそがしい;;N5
51;いたい;痛い;形;be painful, be sore, hurts;いたい;;N5
52;いち;一;名;one;いち;;N5
53;いちにち;一日;名;one day, all day;いちにち;;N5
54;いちばん;一番;副;most, best, number one, first;いちばん;;N5
55;いつ; ;名;when;いつ;;N5
56;いつか;五日;名;the fifth of the month, five days;いつか;;N5
57;いっしょに;一緒に;副;together;いっしょに;;N5
58;いつつ;五つ;名;five items, five years of age;いつつ;;N5
59;いつも; ;副;always;いつも;;N5
60;いま;今;名;now, at present, just now, soon;いま;;N5
61;いみ;意味;名，～する;meaning, sense, significance;いみ;;N5
62;いもうと;妹;名;younger sister;いもうと;;N5
63;いや;嫌;形動;disagreeable, unpleasant, distasteful, offensive;いや;;N5
64;いりぐち;入口;名;entrance;いりぐち;;N5
65;いる;居る;動II;be, exist, live, reside;いる;;N5
66;いる;要る;動I;need, be necessary;いる;;N5
67;いれる;入れる;動II;put in, add, send, include, prepare;いれる;;N5
68;いろ;色;名;colour;いろ;;N5
69;いろいろ; ;副，形動，～の;various, several;いろいろ;;N5
70;うえ;上;名;up, upward, above, top, higher, superior, older;うえ;;N5
71;うしろ;後;名;the back, the rear, behind, in back of;うしろ;;N5
72;うすい;薄い;形;thin, weak;うすい;;N5
73;うた;歌;名;a song, singing;うた;;N5
74;うたう;歌う;動I;sing;うたう;;N5
75;うち; ;名;a house, a household;うち;;N5
76;うまれる;生まれる;動II;be born, come into existence;うまれる;;N5
77;うみ;海;名;sea, ocean;うみ;;N5
78;うる;売る;動I;to sell;うる;;N5
79;うわぎ;上着;名;coat, suit jacket, upper garment, outerwear;うわぎ;;N5
80;え;絵;名;picture, painting, drawing;え;;N5
81;えいが;映画;名;movie, motion picture;えいが;;N5
82;えいがかん;映画館;名;a movie theatre;えいがかん;;N5
83;えいご;英語;名;English, the English language;えいご;;N5
84;ええ; ;感;yes, yeah;ええ;;N5
85;えき;駅;名;station;えき;;N5
86;エレベーター; ;名;elevator;;;N5
87;～えん;～円;名，尾;~yen;;;N5
88;えんぴつ;鉛筆;名;pencil;えんぴつ;;N5
