Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
0;2019-02-21;あ;ア;;;a;Buchstabe;2019-07-07
0;2019-02-21;い;イ;;;i;Buchstabe;2019-07-07
0;2019-02-21;う;ウ;;;u;Buchstabe;2019-07-07
0;2019-02-21;え;エ;;;e;Buchstabe;2019-07-07
0;2019-02-21;お;オ;;;o;Buchstabe;2019-07-07
0;2019-02-21;か;カ;;;ka;Buchstabe;2019-07-07
0;2019-02-21;き;キ;;;ki;Buchstabe;2019-07-07
0;2019-02-21;く;ク;;;ku;Buchstabe;2019-07-07
0;2019-02-21;け;ケ;;;ke;Buchstabe;2019-07-07
0;2019-02-21;こ;コ;;;ko;Buchstabe;2019-07-07
0;2019-02-21;さ;サ;;;sa;Buchstabe;2019-07-07
0;2019-02-21;し;シ;;;shi;Buchstabe;2019-07-07
0;2019-02-21;す;ス;;;su;Buchstabe;2019-07-07
0;2019-02-21;せ;セ;;;se;Buchstabe;2019-07-07
0;2019-02-21;そ;ソ;;;so;Buchstabe;2019-07-07
0;2019-02-21;た;タ;;;ta;Buchstabe;2019-07-07
0;2019-02-21;ち;チ;;;chi;Buchstabe;2019-07-07
0;2019-02-21;つ;ツ;;;tsu;Buchstabe;2019-07-07
0;2019-02-21;て;テ;;;te;Buchstabe;2019-07-07
0;2019-02-21;と;ト;;;to;Buchstabe;2019-07-07
0;2019-02-21;な;ナ;;;na;Buchstabe;2019-07-07
0;2019-02-21;に;ニ;;;ni;Buchstabe;2019-07-07
0;2019-02-21;ぬ;ヌ;;;nu;Buchstabe;2019-07-07
0;2019-02-21;ね;ネ;;;ne;Buchstabe;2019-07-07
0;2019-02-21;の;ノ;;;no;Buchstabe;2019-07-07
0;2019-02-21;は;ハ;;;ha;Buchstabe;2019-07-07
0;2019-02-21;ひ;ヒ;;;hi;Buchstabe;2019-07-07
0;2019-02-21;ふ;フ;;;fu;Buchstabe;2019-07-07
0;2019-02-21;へ;ヘ;;;he;Buchstabe;2019-07-07
0;2019-02-21;ほ;ホ;;;ho;Buchstabe;2019-07-07
0;2019-02-21;ま;マ;;;ma;Buchstabe;2019-07-07
0;2019-02-21;み;ミ;;;mi;Buchstabe;2019-07-07
0;2019-02-21;む;ム;;;mu;Buchstabe;2019-07-07
0;2019-02-21;め;メ;;;me;Buchstabe;2019-07-07
0;2019-02-21;も;モ;;;mo;Buchstabe;2019-07-07
0;2019-02-21;や;ヤ;;;ya;Buchstabe;2019-07-07
0;2019-02-21;ゆ;ユ;;;yu;Buchstabe;2019-07-07
0;2019-02-21;よ;ヨ;;;yo;Buchstabe;2019-07-07
0;2019-02-21;ら;ラ;;;ra;Buchstabe;2019-07-07
0;2019-02-21;り;リ;;;ri;Buchstabe;2019-07-07
0;2019-02-21;る;ル;;;ru;Buchstabe;2019-07-07
0;2019-02-21;れ;レ;;;re;Buchstabe;2019-07-07
0;2019-02-21;ろ;ロ;;;ro;Buchstabe;2019-07-07
0;2019-02-21;わ;ワ;;;wa;Buchstabe;2019-07-07
0;2019-02-21;を;ヲ;;;wo;Buchstabe;2019-07-07
0;2019-02-21;ん;ン;;;n;Buchstabe;2019-07-07
0;2019-02-21;が;ガ;;;ga;Buchstabe;2019-07-07
0;2019-02-21;ぎ;ギ;;;gi;Buchstabe;2019-07-07
0;2019-02-21;ぐ;グ;;;gu;Buchstabe;2019-07-07
0;2019-02-21;げ;ゲ;;;ge;Buchstabe;2019-07-07
0;2019-02-21;ご;ゴ;;;go;Buchstabe;2019-07-07
0;2019-02-21;ざ;ザ;;;za;Buchstabe;2019-07-07
0;2019-02-21;じ;ジ;;;(z) ji;Buchstabe;2019-07-07
0;2019-02-21;ず;ズ;;;zu;Buchstabe;2019-07-07
0;2019-02-21;ぜ;ゼ;;;ze;Buchstabe;2019-07-07
0;2019-02-21;ぞ;ゾ;;;zo;Buchstabe;2019-07-07
0;2019-02-21;だ;ダ;;;da;Buchstabe;2019-07-07
0;2019-02-21;ぢ;ヂ;;;(d) ji;Buchstabe;2019-07-07
0;2019-02-21;づ;ヅ;;;(d) zu;Buchstabe;2019-07-07
0;2019-02-21;で;デ;;;de;Buchstabe;2019-07-07
0;2019-02-21;ど;ド;;;do;Buchstabe;2019-07-07
0;2019-02-21;ば;バ;;;ba;Buchstabe;2019-07-07
0;2019-02-21;び;ビ;;;bi;Buchstabe;2019-07-07
0;2019-02-21;ぶ;ブ;;;bu;Buchstabe;2019-07-07
0;2019-02-21;べ;ベ;;;be;Buchstabe;2019-07-07
0;2019-02-21;ぼ;ボ;;;bo;Buchstabe;2019-07-07
0;2019-02-21;ぱ;パ;;;pa;Buchstabe;2019-07-07
0;2019-02-21;ぴ;ピ;;;pi;Buchstabe;2019-07-07
0;2019-02-21;ぷ;プ;;;pu;Buchstabe;2019-07-07
0;2019-02-21;ぺ;ペ;;;pe;Buchstabe;2019-07-07
0;2019-02-21;ぽ;ポ;;;po;Buchstabe;2019-07-07
0;2019-02-21;きや;キャ;;;kya;Buchstabe;2019-07-07
0;2019-02-21;きゆ;キュ;;;kyu;Buchstabe;2019-07-07
0;2019-02-21;きよ;キョ;;;kyo;Buchstabe;2019-07-07
0;2019-02-21;しや;シャ;;;sya;Buchstabe;2019-07-07
0;2019-02-21;しゆ;シュ;;;syu;Buchstabe;2019-07-07
0;2019-02-21;しよ;ショ;;;syo;Buchstabe;2019-07-07
0;2019-02-21;ちや;チャ;;;tya;Buchstabe;2019-07-07
0;2019-02-21;ちゆ;チュ;;;tyu;Buchstabe;2019-07-07
0;2019-02-21;ちよ;チョ;;;tyo;Buchstabe;2019-07-07
0;2019-02-21;にや;ニャ;;;nya;Buchstabe;2019-07-07
0;2019-02-21;にゆ;ニュ;;;nyu;Buchstabe;2019-07-07
0;2019-02-21;によ;ニョ;;;nyo;Buchstabe;2019-07-07
0;2019-02-21;ひや;ヒャ;;;hya;Buchstabe;2019-07-07
0;2019-02-21;ひゆ;ヒュ;;;hyu;Buchstabe;2019-07-07
0;2019-02-21;ひよ;ヒョ;;;hyo;Buchstabe;2019-07-07
0;2019-02-21;みや;ミャ;;;mya;Buchstabe;2019-07-07
0;2019-02-21;みゆ;ミュ;;;myu;Buchstabe;2019-07-07
0;2019-02-21;みよ;ミョ;;;myo;Buchstabe;2019-07-07
0;2019-02-21;りや;リャ;;;rya;Buchstabe;2019-07-07
0;2019-02-21;りゆ;リュ;;;ryu;Buchstabe;2019-07-07
0;2019-02-21;りよ;リョ;;;ryo;Buchstabe;2019-07-07
0;2019-02-21;ぎや;ギャ;;;gya;Buchstabe;2019-07-07
0;2019-02-21;ぎゆ;ギュ;;;gyu;Buchstabe;2019-07-07
0;2019-02-21;ぎよ;ギョ;;;gyo;Buchstabe;2019-07-07
0;2019-02-21;じや;ジャ;;;zya;Buchstabe;2019-07-07
