course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;0;2019-02-21;あ;ア;;;a;文字;;2019-07-07
A1.1;0;2019-02-21;い;イ;;;i;文字;;2019-07-07
A1.1;0;2019-02-21;う;ウ;;;u;文字;;2019-07-07
A1.1;0;2019-02-21;え;エ;;;e;文字;;2019-07-07
A1.1;0;2019-02-21;お;オ;;;o;文字;;2019-07-07
A1.1;0;2019-02-21;か;カ;;;ka;文字;;2019-07-07
A1.1;0;2019-02-21;き;キ;;;ki;文字;;2019-07-07
A1.1;0;2019-02-21;く;ク;;;ku;文字;;2019-07-07
A1.1;0;2019-02-21;け;ケ;;;ke;文字;;2019-07-07
A1.1;0;2019-02-21;こ;コ;;;ko;文字;;2019-07-07
A1.1;0;2019-02-21;さ;サ;;;sa;文字;;2019-07-07
A1.1;0;2019-02-21;し;シ;;;shi;文字;;2019-07-07
A1.1;0;2019-02-21;す;ス;;;su;文字;;2019-07-07
A1.1;0;2019-02-21;せ;セ;;;se;文字;;2019-07-07
A1.1;0;2019-02-21;そ;ソ;;;so;文字;;2019-07-07
A1.1;0;2019-02-21;た;タ;;;ta;文字;;2019-07-07
A1.1;0;2019-02-21;ち;チ;;;chi;文字;;2019-07-07
A1.1;0;2019-02-21;つ;ツ;;;tsu;文字;;2019-07-07
A1.1;0;2019-02-21;て;テ;;;te;文字;;2019-07-07
A1.1;0;2019-02-21;と;ト;;;to;文字;;2019-07-07
A1.1;0;2019-02-21;な;ナ;;;na;文字;;2019-07-07
A1.1;0;2019-02-21;に;ニ;;;ni;文字;;2019-07-07
A1.1;0;2019-02-21;ぬ;ヌ;;;nu;文字;;2019-07-07
A1.1;0;2019-02-21;ね;ネ;;;ne;文字;;2019-07-07
A1.1;0;2019-02-21;の;ノ;;;no;文字;;2019-07-07
A1.1;0;2019-02-21;は;ハ;;;ha;文字;;2019-07-07
A1.1;0;2019-02-21;ひ;ヒ;;;hi;文字;;2019-07-07
A1.1;0;2019-02-21;ふ;フ;;;fu;文字;;2019-07-07
A1.1;0;2019-02-21;へ;ヘ;;;he;文字;;2019-07-07
A1.1;0;2019-02-21;ほ;ホ;;;ho;文字;;2019-07-07
A1.1;0;2019-02-21;ま;マ;;;ma;文字;;2019-07-07
A1.1;0;2019-02-21;み;ミ;;;mi;文字;;2019-07-07
